Date,Open,High,Low,Close,S_3,S_15,S_60,Corr,Std_U,Std_D,OD,OL
2013-04-15,136.0,136.75,130.509995,131.309998,,,,,0.75,5.4900049999999965,,
2013-04-16,134.899994,135.110001,131.759995,132.800003,,,,,0.2100070000000187,3.139998999999989,-1.1000060000000076,3.589995999999985
2013-04-17,133.809998,134.949997,132.320007,132.869995,,,,,1.1399989999999889,1.4899910000000034,-1.089995999999985,1.0099950000000035
2013-04-18,134.119995,135.309998,133.619995,134.300003,132.32666533333335,,,,1.1900030000000186,0.5,0.3099969999999814,1.25
2013-04-19,136.0,136.020004,134.600006,135.470001,133.32333366666668,,,,0.020004000000000133,1.3999939999999924,1.8800050000000113,1.6999969999999962
2013-04-22,138.149994,138.270004,137.220001,137.899994,134.213333,,,,0.12001000000000772,0.9299929999999961,2.1499939999999924,2.679992999999996
2013-04-23,137.220001,137.240005,135.850006,136.880005,135.88999933333332,,,,0.020004000000000133,1.3699949999999887,-0.9299929999999961,-0.6799929999999961
2013-04-24,138.089996,138.550003,137.449997,138.369995,136.75,,,,0.4600069999999903,0.6399990000000173,0.8699950000000172,1.2099910000000023
2013-04-25,140.0,142.080002,139.789993,141.630005,137.71666466666667,,,,2.0800020000000075,0.21000699999999028,1.9100039999999865,1.6300050000000113
2013-04-26,142.300003,143.429993,140.039993,140.910004,138.96000166666667,,,,1.1299899999999923,2.260009999999994,2.300003000000004,0.6699979999999925
2013-04-29,142.130005,142.660004,141.490005,142.300003,140.30333466666667,,,,0.5299989999999752,0.6400000000000148,-0.16999799999999254,1.2200010000000248
2013-04-30,142.270004,142.830002,141.550003,142.770004,141.61333733333333,,,,0.5599980000000073,0.7200009999999963,0.13999899999998888,-0.02999900000000366
2013-05-01,140.589996,141.550003,139.300003,141.110001,141.993337,,,,0.9600069999999903,1.2899930000000097,-1.6800079999999866,-2.1800079999999866
2013-05-02,142.0,142.470001,141.639999,141.919998,142.0600026666667,,,0.918993724916181,0.47000099999999634,0.3600010000000111,1.4100039999999865,0.8899989999999889
2013-05-03,141.699997,142.710007,141.399994,142.089996,141.93333433333333,,,0.8915383303314934,1.010009999999994,0.3000030000000038,-0.3000030000000038,-0.22000099999999634
2013-05-06,142.330002,142.460007,141.630005,142.149994,141.70666500000002,138.17533366666666,,0.8525794896740446,0.13000499999998283,0.6999969999999962,0.6300050000000113,0.24000599999999395
2013-05-07,140.380005,140.639999,139.369995,140.380005,142.05332933333332,138.89800006666667,,0.8234929154918131,0.25999399999997763,1.0100100000000225,-1.9499969999999962,-1.7699889999999812
2013-05-08,141.779999,142.809998,141.490005,142.460007,141.53999833333333,139.40333353333332,,0.5895812221915434,1.0299990000000037,0.2899940000000072,1.3999939999999924,1.3999939999999924
2013-05-09,141.330002,142.360001,140.509995,140.809998,141.66333533333332,140.04266766666666,,0.13923288337459777,1.0299990000000037,0.8200070000000039,-0.4499969999999962,-1.1300049999999828
2013-05-10,138.220001,139.75,137.259995,139.600006,141.21667,140.47666733333332,,0.08868512963675851,1.5299990000000037,0.9600059999999928,-3.110001000000011,-2.589997000000011
2013-05-13,138.460007,138.970001,138.160004,138.429993,140.95667033333334,140.75200099999998,,-0.12193075577263465,0.509994000000006,0.3000030000000038,0.24000599999999395,-1.1399990000000173
2013-05-14,137.949997,139.160004,137.639999,137.809998,139.61333233333332,140.78733426666668,,0.5810366280282924,1.2100069999999903,0.3099980000000073,-0.5100099999999941,-0.47999599999999987
2013-05-15,136.589996,136.979996,134.229996,134.630005,138.61333233333332,140.84933379999998,,0.7957950024751007,0.38999999999998636,2.3600000000000136,-1.3600009999999827,-1.2200019999999938
2013-05-16,133.179993,134.479996,133.0,134.089996,136.95666533333335,140.60000113333334,,0.9178919803706729,1.3000030000000038,0.17999299999999607,-3.4100030000000174,-1.4500120000000152
2013-05-17,133.169998,133.479996,131.020004,131.070007,135.5099996666667,140.09733386666667,,0.9303807061588532,0.3099980000000073,2.1499939999999924,-0.009995000000003529,-0.919998000000021
2013-05-20,130.880005,135.320007,130.850006,135.119995,133.263336,139.44133406666666,,0.9585877556001002,4.440001999999993,0.02999900000000366,-2.2899929999999813,-0.19000199999999268
2013-05-21,132.169998,133.649994,131.449997,132.880005,133.426666,138.96266686666667,,0.8356472509902284,1.4799959999999999,0.7200009999999963,1.2899929999999813,-2.949996999999996
2013-05-22,134.179993,136.770004,130.949997,131.940002,133.02333566666667,138.3033336,,0.8410387871042626,2.590011000000004,3.229996,2.0099950000000035,1.2999879999999848
2013-05-23,134.509995,134.839996,133.119995,134.610001,133.31333399999997,137.69200033333334,,0.8575087166968927,0.33000100000001,1.3900000000000148,0.33000200000000746,2.569993000000011
2013-05-24,134.110001,134.509995,133.639999,133.759995,133.143336,137.20466720000002,,0.788645764720354,0.3999939999999924,0.47000200000002224,-0.3999939999999924,-0.5
2013-05-28,133.679993,135.570007,132.800003,133.490005,133.43666600000003,136.6493338,,0.705111307013402,1.8900140000000079,0.8799899999999923,-0.43000800000001504,-0.08000200000000746
2013-05-29,134.089996,134.910004,133.639999,134.830002,133.95333366666668,136.0720012,,0.5418642632263493,0.820007999999973,0.4499970000000246,0.41000300000001744,0.599991000000017
2013-05-30,136.669998,137.110001,136.259995,136.699997,134.02666733333334,135.702001,,0.09870009657975976,0.4400030000000186,0.410002999999989,2.580001999999979,1.839995999999985
2013-05-31,135.710007,136.050003,133.889999,133.919998,135.00666800000002,135.31800033333334,,-0.11973455155053347,0.3399960000000135,1.8200080000000014,-0.9599910000000023,-0.9899900000000059
2013-06-03,134.770004,136.979996,134.429993,136.509995,135.14999899999998,134.85866700000003,,-0.2364186185401294,2.2099919999999997,0.34001100000000406,-0.9400029999999902,0.8500060000000076
2013-06-04,135.210007,135.440002,134.270004,135.229996,135.70999666666668,134.65266626666667,,0.5451490588507439,0.2299950000000024,0.9400029999999902,0.44000299999999015,-1.2999880000000132
2013-06-05,135.470001,136.369995,135.009995,135.520004,135.21999633333334,134.43933313333335,,0.5910206629398579,0.8999939999999924,0.4600059999999928,0.25999400000000605,0.24000499999999647
2013-06-06,135.389999,137.619995,134.979996,136.529999,135.75333166666667,134.28666686666668,,0.589011932595986,2.229996,0.410002999999989,-0.08000200000000746,-0.13000500000001125
2013-06-07,134.110001,134.619995,133.179993,133.279999,135.7599996666667,134.41333313333334,,0.5603600955053507,0.5099939999999776,0.930008000000015,-1.2799979999999778,-2.4199979999999925
2013-06-10,133.300003,134.279999,132.990005,133.940002,135.11000066666668,134.35933333333332,,0.2929092094769192,0.9799959999999999,0.3099980000000073,-0.8099980000000073,0.020004000000000133
2013-06-11,132.309998,133.509995,132.240005,133.25,134.58333333333334,134.55066633333334,,0.11367405677483952,1.1999969999999962,0.06999300000001085,-0.9900049999999965,-1.6300039999999854
