Date,Close,High,P_H,Low,P_L,Signal,gld_returns,strategy_returns
2017-08-10,122.209999,122.440002,122.58170783769856,122.029999,121.51477061348297,0,,
2017-08-11,122.790001,122.830002,122.74705466281198,122.029999,121.6708632989874,-1,0.004745945542475649,0.0
2017-08-14,121.919998,122.239998,122.50440566821716,121.68,121.4396450380618,0,-0.0070852919041836104,0.0070852919041836104
2017-08-15,120.980003,121.230003,121.153842350781,120.580002,120.09105493743678,-1,-0.007709932869257474,-0.0
2017-08-16,121.870003,122.059998,121.24046155150266,120.660004,120.16458473115652,-1,0.007356587683338134,-0.007356587683338134
2017-08-17,122.489998,122.610001,122.83316463021768,121.760002,121.76411199820043,1,0.005087347047985302,-0.005087347047985302
2017-08-18,122.300003,123.540001,123.88566178286062,122.0,122.81254514550484,1,-0.0015511062380783036,-0.0015511062380783036
2017-08-21,122.760002,122.980003,123.06408598846208,122.5,121.98916291431094,0,0.0037612345765845046,0.0037612345765845046
2017-08-22,122.209999,122.559998,123.09578827828896,121.849998,122.0221532644943,1,-0.00448031110328595,-0.0
2017-08-23,122.669998,122.690002,123.13215239425725,122.309998,122.0381540773549,0,0.003764004613076022,0.003764004613076022
2017-08-24,122.290001,122.639999,122.93814473346904,122.129997,121.84226125321796,0,-0.003097717503835029,-0.0
2017-08-25,122.739998,123.019997,123.3269269970544,121.290001,122.21846225434764,1,0.0036797530159475844,0.0
2017-08-28,124.690002,124.730003,123.87262915942098,123.330002,122.774568418359,-1,0.01588727417121194,0.01588727417121194
2017-08-29,124.419998,125.870003,126.32530607779248,124.050003,125.22752973966487,1,-0.0021654021627171005,0.0021654021627171005
2017-08-30,124.360001,124.620003,124.840566848124,124.160004,123.75592380768306,0,-0.0004822134782546117,-0.0004822134782546117
2017-08-31,125.82,125.839996,125.13819991923428,124.550003,124.0365833258148,-1,0.011740101224347876,0.0
2017-09-01,126.059998,126.169998,126.54264312604226,125.120003,125.4484889773788,1,0.001907470990303528,-0.001907470990303528
